id,organization,rating_category,rating_content_descriptions
5029,1,5,"[24, 31]"
5046,1,6,"[15, 10, 4, 11]"
5047,1,5,"[32, 3, 29]"
5049,1,5,"[32, 24, 9, 3]"
5053,1,5,"[32, 24, 3, 9]"
5059,1,5,[40]
5061,1,3,"[43, 2]"
5063,1,5,"[33, 2]"
5064,1,5,"[33, 3]"
5066,1,5,"[15, 3, 29, 18]"
5111,1,3,[43]
5114,1,6,"[46, 31]"
5118,1,6,"[46, 31]"
5122,1,5,"[31, 2]"
5125,1,5,"[29, 3]"
5129,1,3,"[33, 6]"
5130,1,3,"[6, 43]"
5132,2,11,
5145,1,3,"[37, 6]"
5155,1,5,"[31, 2]"
5187,2,8,
5190,1,3,
5191,2,8,
5192,1,6,"[31, 46]"
5194,1,6,"[46, 23, 31]"
5206,1,5,"[42, 31]"
5234,2,9,
5238,2,12,
5248,1,3,
5249,1,3,
5252,2,8,
5254,2,8,
5271,1,5,"[3, 24, 29]"
5281,2,8,
5284,2,9,
5295,2,11,
5297,1,3,
5298,2,8,
5299,2,8,
5301,2,11,
5302,2,8,
5304,2,12,
5305,2,9,
5318,2,11,
5326,2,11,
5332,2,12,
5334,2,12,
5386,2,8,
5389,2,12,
5396,2,11,
5398,2,11,
5399,2,11,
5416,2,11,
5428,2,12,
5430,2,10,
5434,2,9,
5435,2,9,
5436,2,8,
5438,1,5,"[3, 29]"
5441,2,12,"[55, 50]"
5446,1,3,[47]
5447,2,9,
5449,1,5,"[46, 31]"
5466,2,10,
5467,2,11,
5476,2,8,
5477,2,8,
5500,2,11,
5502,2,11,
5507,2,8,
5508,2,8,
5510,2,11,
5514,2,10,
5531,1,3,
5532,2,8,
5535,1,5,"[2, 31]"
5536,1,3,[5]
5538,1,3,[29]
5541,2,8,
5546,2,8,
5553,1,5,"[29, 24]"
5554,1,5,"[29, 24]"
5556,2,8,
5558,2,8,
5559,2,8,
5560,2,9,
5563,2,11,
5565,2,8,
5567,2,8,
5569,1,3,[33]
5576,1,6,"[29, 3]"
5581,1,5,[9]
5582,1,5,"[31, 24]"
5583,1,5,[31]
5585,1,5,"[2, 31]"
5595,1,5,[29]
5599,1,5,"[31, 32, 24]"
5605,1,6,"[31, 46]"
5610,1,6,"[11, 27, 3, 18, 29]"
5614,1,5,"[37, 32]"
5616,2,8,
5625,2,10,
5627,1,3,
5629,1,5,[31]
5637,1,5,[29]
5639,1,5,"[29, 3]"
5640,1,6,"[46, 31]"
5647,1,5,[31]
5649,1,5,[31]
5654,1,5,[31]
5657,1,5,[31]
5663,1,3,[31]
5665,1,6,"[29, 4]"
5677,1,3,
5678,1,3,
5679,1,3,
5680,1,5,"[46, 31]"
5703,1,5,"[6, 45, 24]"
5707,1,4,"[9, 38, 32]"
5709,1,4,[9]
5710,2,9,[53]
5724,1,3,[6]
5742,1,5,"[4, 29]"
5754,1,3,[33]
5760,1,3,[33]
5764,1,5,[31]
5781,1,4,[9]
5787,1,3,[31]
5792,1,4,[9]
5794,1,5,[31]
5795,1,6,"[2, 31, 21]"
5798,1,5,"[31, 42, 2]"
5799,1,5,"[24, 31]"
5805,2,11,
5812,1,5,[31]
5815,1,3,[5]
5819,1,3,
5820,1,5,"[32, 31]"
5823,1,5,[31]
5824,1,5,"[33, 3, 24]"
5827,1,5,"[32, 9, 24, 45]"
5837,1,3,[31]
5840,1,6,"[4, 11, 10]"
5844,1,3,
5845,2,8,[58]
5850,1,3,[37]
5854,1,6,"[2, 31]"
5855,1,6,"[31, 2]"
5859,1,6,"[3, 10, 21]"
5861,1,5,"[2, 31]"
5871,1,5,"[21, 2, 31]"
5874,1,3,[47]
5895,1,4,"[33, 1]"
5913,2,8,
5948,1,4,[9]
5957,1,4,"[30, 1, 36]"
5960,1,5,"[7, 9, 3]"
5961,2,10,
5995,1,6,"[32, 46]"
6007,1,6,"[21, 31, 46]"
6017,1,6,"[42, 46, 31]"
6019,1,3,[31]
6021,1,3,[33]
6025,1,3,[5]
6027,1,3,[5]
6029,1,3,"[32, 9]"
6033,2,12,"[50, 55]"
6038,1,5,[33]
6039,1,3,[5]
6042,1,6,"[46, 31]"
6044,1,5,[31]
6047,1,6,"[29, 3]"
6051,1,6,"[3, 29]"
6064,1,6,"[11, 4, 29, 24]"
6066,1,3,
6097,1,3,
6098,2,8,
6099,1,3,
6100,2,8,
6101,1,3,
6102,2,8,
6103,1,3,
6104,2,8,
6109,2,8,
6117,2,8,
6118,2,8,
6120,1,3,
6132,1,5,[31]
6136,1,5,[43]
6139,1,5,"[29, 4]"
